2024-09-2309:33:53,1,1,5,hello
2024-09-2309:34:04,1,1,5,world
2024-09-2309:34:22,2,1,9,hy from 2
2024-09-2309:34:44,1,1,16,got your messege
2024-09-2309:35:22,1,2,16,got your messege
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:00,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:00,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:00,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1012:45:00,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:00,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:05,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:34,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:35,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:38,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:38,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:38,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:38,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:38,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:38,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:38,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:38,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:38,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:38,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:39,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:42,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:42,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:42,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:42,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:42,1,2,40,ID:1,VALUE:Lane Departure Right Detected
2024-10-1013:03:44,1,2,39,ID:1,VALUE:Lane Departure Left Detected
2024-10-1013:03:47,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:47,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:47,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:47,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:47,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:48,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:48,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:48,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:48,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:48,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:48,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:48,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:48,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:48,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:48,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:48,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:48,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:49,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:49,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:49,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:49,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:49,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:49,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:49,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:49,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:49,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:49,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:49,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:49,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:49,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1013:03:50,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:50,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:50,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1013:03:50,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:50,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1013:03:50,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:50,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:50,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:50,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:50,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:50,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:51,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:51,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:51,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:51,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:51,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:51,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:51,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:51,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:51,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1013:03:51,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
